id;cl_ident;cl_raison_social;cl_adresse;cl_code_postal;cl_ville;cl_country;cl_email;cl_numero_mobile;cl_numero_fax;cl_numero_fixe;cl_date_creation;cl_date_update;cl_status;cl_numero_siret
1;40097;calculate;Lettonie;Fresh Handcrafted Loire;compressing array;envisioneer;Coordinateur world-class Adaptive;capacitor hard;iterate;online Account global;2022-01-06;2022-01-06;virtual;a quantify uniform
2;43375;Account Concrete;web;Taiwan Wooden back-end;Avon online;index;transitional Multi-layered Hryvnia;orange;hub encoding Canada;b a;2022-01-07;2022-01-06;Granite Agent overriding;payment
3;36113;Small;Automotive Fantastic Ball;Pants;Market Gorgeous;back-end Cambridgeshire Cotton;wireless COM Licensed;Superviseur Account b;Checking;feed;2022-01-06;2022-01-06;Harpe matrix;IB array technologies
4;90301;invoice cohesive;Corse generating;Basse-Normandie Sausages;index;e-business Loan;Shoes;hack synthesize alarm;navigate;synthesize;2022-01-06;2022-01-07;Handmade;Rubber
5;57236;Granite reintermediate schemas;b;Ingenieur Money;Chair content SMS;Korean Berkshire compressing;Montmorency parse;Multi-channelled;Haute-Normandie Mille;fresh-thinking Berkshire;2022-01-07;2022-01-06;Health 24/7 GB;Health c
6;80949;Account Cambridgeshire Books;models;Manager Optimized optical;up;Ball;e-enable turquoise Corse;Bacon wireless state;Front-line CSS;Sleek hack b;2022-01-07;2022-01-07;Corse;Languedoc-Roussillon
7;21346;hierarchy Islande Practical;content Cheese;architectures Cotton;Pastourelle;Ball;functionalities Paix Towels;Sharable JSON Networked;Buckinghamshire throughput Rivoli;c centrafricaine deliver;2022-01-07;2022-01-06;Handmade Azerbaïdjan;indigo Cameroun
8;54618;Granite Checking Home;haptic c Handcrafted;Rial benchmark;Bourgogne c Computer;Small auxiliary interface;Assistant metrics;Borders Assistant Kina;channels;Checking Coordinateur;2022-01-07;2022-01-07;Fresh;Developpeur
9;42629;maroon to Bedfordshire;Vanuatu bus microchip;Peso b scalable;matrices Intelligent;Configurable open-source Angola;solution-oriented generate;Handmade overriding;Peso;niches Egyptian Tools;2022-01-06;2022-01-07;Quetzal next-generation;loyalty dedicated copying
10;44490;Loan Poitou-Charentes Adolphe;c deposit;target;Car;Buckinghamshire Islande e-business;Borders harness;virtual Credit calculating;engineer Pants Streamlined;COM Chair;2022-01-06;2022-01-07;Francs-Bourgeois;Granite
