id;fr_ident;fr_raison_social;fr_adresse;fr_code_postal;fr_ville;fr_country;fr_email;fr_numero_mobile;fr_numero_fax;fr_numero_fixe;fr_date_creation;fr_date_update;fr_status;fr_numero_siret
1;95939;User-friendly back-end magenta;convergence Account;index;3rd;SDD c;seamless navigating implement;hybrid input killer;Lorraine Checking Personal;help-desk back;2022-01-07;2022-01-06;Tunisie Health b;analyzer withdrawal
2;35151;Garden redundant;silver Dominique Kids;panel channels Peso;Checking;Seine;deposit Electronics;initiatives Basse-Normandie open-source;Corse Executif Cotton;Assistant Avon pink;2022-01-07;2022-01-06;a Berkshire;Nesle
3;74881;Operative;best-of-breed Bedfordshire;Auvergne;directional content;Shoes;payment Loan;Producteur Bretagne;system;Licensed Account generate;2022-01-07;2022-01-06;connecting Granite metrics;Ergonomic c
4;31123;navigating harness;Superviseur solutions;invoice Licensed;engine;monitor withdrawal magenta;Plastic Tuna 24/365;Keyboard Auto leading-edge;connect generate withdrawal;Specialiste;2022-01-06;2022-01-07;out-of-the-box;a
5;25928;Canada Loan Buckinghamshire;Proactive Buckinghamshire Bacon;integrate green a;c transparent Account;withdrawal Picardie;best-of-breed approach;Laffitte Steel Operative;Steel Leone;port;2022-01-07;2022-01-07;Shoes Buckinghamshire;Salomon
6;12684;la;c index;Home copy;Investment generating olive;indexing Handmade;empower;microchip;Cambridgeshire Île-de-France;Refined withdrawal strategy;2022-01-06;2022-01-07;b concept;Cuban
7;42900;transmit RAM Lesotho;invoice;generating Ergonomic Refined;matrix Wooden concept;c;Money SSL;teal Incredible copy;monetize Beauty communities;Tala Auvergne Business-focused;2022-01-07;2022-01-06;Account;invoice input
8;8860;Account;Loan Plastic;hybrid;Inverse XML structure;Towels de Directeur;primary 6th;primary;b;Limousin;2022-01-07;2022-01-07;extend;Quality-focused Account up
9;31744;Architecte;auxiliary;content Vaugirard override;CFP mindshare;navigate maroon;Metal online Licensed;Advanced;invoice Rubber Interface;Fresh Rubber Baby;2022-01-07;2022-01-07;Auvergne executive;la a
10;30450;Shoes content-based;back-end;Ball;Somalie;Distributed;green;Awesome Montmorency;Future-proofed withdrawal;Cheese Sleek Directeur;2022-01-06;2022-01-06;project Poitou-Charentes;Unbranded systematic
